Date,AdjClose,Close,High,Low,Open,Volume,RSI,%K,%R,EMA_fast,EMA_slow,MACD,Signal_Line,ROC,Direction,OBV,Ticker,Sector
2010-02-17,14.891020774841309,23.459999084472656,23.57999992370605,23.270000457763672,23.489999771118164,739100,39.9323165758874,51.55277074862813,-48.44722925137187,23.20913983031222,23.804587736361242,-0.5954479060490208,-0.5972932599511841,-7.528583727151569,1,-1871900,PLD,Real Estate
2010-02-18,15.17665958404541,23.90999984741211,24.030000686645508,23.290000915527344,23.3799991607666,1435400,49.040134852465165,65.52794442390984,-34.47205557609015,23.31696444832759,23.81239604088353,-0.49543159255594205,-0.5769209264721357,-7.1095568763735,1,-436500,PLD,Real Estate
2010-02-19,15.08144760131836,23.76000022888184,23.940000534057617,23.57999992370605,23.780000686645508,1272700,47.95222126276193,60.86957294361844,-39.13042705638156,23.38512379918209,23.808514869624148,-0.42339107044205804,-0.5462149552661202,-6.860054818888986,-1,-1709200,PLD,Real Estate
2010-02-22,15.214750289916992,23.96999931335449,24.09000015258789,23.709999084472656,23.86000061035156,969800,44.34305953258133,67.39128116914492,-32.608718830855075,23.475104647516304,23.82047668027084,-0.3453720327545362,-0.5060463707638034,-6.804043727525897,1,-739400,PLD,Real Estate
2010-02-23,15.03066635131836,23.68000030517578,24.049999237060547,23.6299991607666,23.780000686645508,1082900,41.09347252829317,69.88850166804342,-30.111498331956593,23.506627056386993,23.81007102285639,-0.3034439664693984,-0.4655258899049225,-7.680309328080131,-1,-1822300,PLD,Real Estate
2010-02-24,15.183002471923828,23.920000076293945,23.920000076293945,23.61000061035156,23.729999542236328,950100,50.5905459334989,92.5764188502607,-7.423581149739301,23.570222905603448,23.818213915703616,-0.24799101010016855,-0.42201891394397173,-6.853583364354981,1,-872200,PLD,Real Estate
2010-02-25,15.41151523590088,24.280000686645508,24.32999992370605,23.40999984741211,23.549999237060547,1146200,66.8949969539027,98.02374610708756,-1.9762538929124434,23.679419487302226,23.852420343180793,-0.17300085587856628,-0.3722153023308906,-3.305455609443056,1,274000,PLD,Real Estate
2010-02-26,15.44960117340088,24.34000015258789,24.65999984741211,24.11000061035156,24.290000915527344,1332000,64.54769003193059,88.81120186946802,-11.188798130531977,23.78104728196156,23.88853736609984,-0.10749008413828065,-0.31927025869236864,-5.622336996763941,1,1606000,PLD,Real Estate
2010-03-01,15.52577018737793,24.459999084472656,24.64999961853028,24.299999237060547,24.459999084472656,1014600,77.09496790005078,93.00696782316881,-6.993032176831187,23.885501405424804,23.930867863757083,-0.04536645833227837,-0.2644894986203506,-4.787860739645878,1,2620600,PLD,Real Estate
2010-03-02,15.640020370483398,24.63999938964844,24.780000686645508,24.36000061035156,24.520000457763672,761900,78.82038849597046,95.3019721847261,-4.698027815273895,24.001578018382286,23.98339612493422,0.018181893448065978,-0.2079552202066673,-3.637075933810139,1,3382500,PLD,Real Estate
2010-03-03,15.51941967010498,24.450000762939453,24.780000686645508,24.350000381469727,24.670000076293945,858800,76.36366879084403,88.92618244356842,-11.07381755643157,24.070566132929542,24.01795943145313,0.052606701476413775,-0.15584283587005107,-6.214035101068262,-1,2523700,PLD,Real Estate
2010-03-04,15.582897186279297,24.549999237060547,24.64999961853028,24.299999237060547,24.56999969482422,910800,82.83383589708414,92.2818343052486,-7.718165694751401,24.144325072026618,24.057369787424047,0.08695528460257052,-0.10728321177552677,-3.574233621897861,1,3434500,PLD,Real Estate
2010-03-05,16.12877655029297,25.40999984741211,25.46999931335449,24.549999237060547,24.799999237060547,1198900,84.40599002606561,97.75282905513394,-2.2471709448660664,24.33904426823977,24.157564606682424,0.18147966155734707,-0.04953063710895201,4.78350452541076,1,4633400,PLD,Real Estate
2010-03-08,16.382665634155273,25.809999465942383,25.93000030517578,25.270000457763672,25.36000061035156,825200,83.28917418771884,95.48868999559733,-4.511310004402677,24.565345067886327,24.279967188849827,0.28537787903649914,0.01745106612013822,8.994928772450411,1,5458600,PLD,Real Estate
