,Simulation_0,Simulation_1,Simulation_2,Simulation_3,Simulation_4,Simulation_5,Simulation_6,Simulation_7,Simulation_8,Simulation_9
0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0,9997.0
1,9993.529999999999,9996.71,10002.54,9995.060000000001,9999.75,9980.15,9993.77,9994.58,9982.69,9994.89
2,9974.609999999999,9998.97,10001.4,9986.84,9996.099999999999,9961.45,9988.73,9990.9,9980.58,9982.22
3,9976.149999999998,10002.52,9996.67,9984.470000000001,9997.529999999999,9967.830000000002,9989.689999999999,9986.210000000001,9981.17,9983.42
4,9993.309999999998,9997.14,10022.9,9976.76,9999.55,9984.550000000001,9990.369999999999,9987.16,9979.230000000001,9983.96
5,9977.439999999999,9986.75,10018.32,10025.490000000002,9993.28,9972.84,9983.26,9985.16,9975.0,9979.89
6,10023.199999999999,9981.920000000002,10007.789999999999,10082.560000000001,9987.130000000001,10008.240000000002,9981.539999999999,10042.77,9969.74,9977.07
7,10034.57,9966.240000000002,10006.970000000001,10152.210000000001,9974.4,10016.230000000001,9968.61,10121.96,9965.85,9981.18
8,10010.5,9956.400000000001,9994.560000000001,10054.29,9950.66,10024.960000000001,9951.449999999999,10023.8,9959.16,9972.42
9,9950.64,9933.230000000001,9965.850000000002,10028.990000000002,9924.18,9983.76,9924.519999999999,9983.01,9952.79,9962.99
10,9915.21,9925.390000000001,9944.850000000002,10003.23,9904.81,9943.52,9900.73,9974.26,9920.69,9953.29
11,9940.6,9969.890000000001,9972.2,9965.869999999999,9927.56,10048.61,9911.72,9996.48,9916.05,10086.210000000001
12,10060.27,10042.050000000001,10010.93,10036.86,9972.21,10164.88,9988.029999999999,10035.75,9960.42,10223.869999999999
13,10110.37,10080.560000000001,10054.04,10141.279999999999,9997.01,10220.85,10059.61,10060.75,9993.08,10315.98
14,10101.619999999999,10055.470000000001,10037.75,10154.25,9957.099999999999,10205.16,10034.829999999998,10028.900000000001,9985.61,10289.41
15,10092.91,10073.050000000003,10008.93,10070.44,9989.21,10226.55,10018.789999999999,10005.8,9972.56,10241.19
16,10067.66,10109.130000000003,10049.170000000002,10107.77,10025.7,10326.59,10038.169999999998,9991.6,10014.95,10244.039999999999
17,10145.96,10045.640000000003,10064.720000000001,9986.59,10023.55,10347.220000000001,10040.669999999998,10000.9,9917.94,10268.509999999998
18,10209.48,10106.61,10108.84,10087.26,10071.91,10422.970000000001,10104.81,10065.720000000001,10037.5,10345.98
