date,signal,prediction,actual,ticker
2024-01-02,hold,233.34195,233.41999816894534,ADP
2024-01-03,hold,233.38332,232.50999450683594,ADP
2024-01-04,hold,233.36452,233.66000366210938,ADP
2024-01-05,hold,233.50159,235.2100067138672,ADP
2024-01-08,hold,233.86465,236.75999450683594,ADP
2024-01-09,hold,234.5287,235.22000122070312,ADP
2024-01-10,hold,234.98526,235.28999328613284,ADP
2024-01-11,hold,235.32545,235.33999633789062,ADP
2024-01-12,hold,235.66306,235.94999694824222,ADP
2024-01-16,hold,235.9693,235.2799987792969,ADP
2024-01-17,hold,236.17117,235.38999938964847,ADP
2024-01-18,hold,236.31721,236.0800018310547,ADP
2024-01-19,hold,236.52878,238.24000549316403,ADP
2024-01-22,hold,236.87427,239.3999938964844,ADP
2024-01-23,hold,237.31174,240.36000061035156,ADP
2024-01-24,hold,237.82541,238.44000244140628,ADP
2024-01-25,hold,238.26625,236.72000122070315,ADP
2024-01-26,hold,238.47304,236.10000610351562,ADP
2024-01-29,hold,238.50891,237.71000671386722,ADP
