date,signal,prediction,actual,ticker
2024-01-02,hold,246.3688,234.1199951171875,ADSK
2024-01-03,sell,244.33328,227.19000244140625,ADSK
2024-01-04,sell,240.35211,228.91999816894534,ADSK
2024-01-05,sell,236.8664,229.52000427246094,ADSK
2024-01-08,hold,234.24432,235.44999694824216,ADSK
2024-01-09,hold,233.91264,235.9600067138672,ADSK
2024-01-10,hold,234.55322,238.82000732421872,ADSK
2024-01-11,hold,236.23112,240.6499938964844,ADSK
2024-01-12,hold,238.38081,242.44000244140625,ADSK
2024-01-16,hold,240.70859,241.5,ADSK
2024-01-17,hold,242.40892,238.47000122070312,ADSK
2024-01-18,hold,242.72916,241.17999267578125,ADSK
2024-01-19,hold,243.02228,248.63999938964844,ADSK
2024-01-22,hold,244.85057,250.7899932861328,ADSK
2024-01-23,buy,247.19601,252.77999877929688,ADSK
2024-01-24,hold,249.82274,252.66000366210935,ADSK
2024-01-25,hold,251.93846,251.75,ADSK
2024-01-26,hold,253.2558,253.07000732421875,ADSK
2024-01-29,hold,254.28777,257.2300109863281,ADSK
