date,signal,prediction,actual,ticker
2024-01-02,hold,9.650822,9.75,AMCR
2024-01-03,hold,9.662871,9.600000381469727,AMCR
2024-01-04,hold,9.650056,9.640000343322754,AMCR
2024-01-05,hold,9.641484,9.739999771118164,AMCR
2024-01-08,hold,9.65125,9.8100004196167,AMCR
2024-01-09,hold,9.668581,9.770000457763672,AMCR
2024-01-10,hold,9.68117,9.760000228881836,AMCR
2024-01-11,hold,9.691481,9.84000015258789,AMCR
2024-01-12,hold,9.710841,9.75,AMCR
2024-01-16,hold,9.716024,9.579999923706055,AMCR
2024-01-17,hold,9.697012,9.460000038146973,AMCR
2024-01-18,hold,9.65607,9.449999809265137,AMCR
2024-01-19,hold,9.618661,9.470000267028809,AMCR
2024-01-22,hold,9.584629,9.460000038146973,AMCR
2024-01-23,hold,9.549913,9.470000267028809,AMCR
2024-01-24,hold,9.519659,9.3100004196167,AMCR
2024-01-25,hold,9.472917,9.470000267028809,AMCR
2024-01-26,hold,9.45444,9.539999961853027,AMCR
2024-01-29,hold,9.448421,9.579999923706055,AMCR
