date,signal,prediction,actual,ticker
2024-01-02,hold,33.61717,33.93000030517578,BKR
2024-01-03,hold,33.5888,33.91999816894531,BKR
2024-01-04,hold,33.539093,33.25,BKR
2024-01-05,hold,33.392128,33.41999816894531,BKR
2024-01-08,hold,33.26548,32.439998626708984,BKR
2024-01-09,sell,33.00943,31.6200008392334,BKR
2024-01-10,sell,32.641155,31.229999542236328,BKR
2024-01-11,sell,32.221897,31.170000076293945,BKR
2024-01-12,hold,31.834461,31.520000457763672,BKR
2024-01-16,sell,31.551243,30.670000076293945,BKR
2024-01-17,hold,31.209446,30.790000915527344,BKR
2024-01-18,hold,30.93467,30.8700008392334,BKR
2024-01-19,hold,30.722216,30.700000762939453,BKR
2024-01-22,hold,30.546112,30.979999542236328,BKR
2024-01-23,hold,30.445156,31.530000686645508,BKR
2024-01-24,hold,30.474157,30.040000915527344,BKR
2024-01-25,hold,30.334045,30.299999237060547,BKR
2024-01-26,hold,30.226177,30.47999954223633,BKR
2024-01-29,hold,30.14826,30.0,BKR
