date,signal,prediction,actual,ticker
2024-01-02,hold,299.49554,310.1000061035156,CI
2024-01-03,hold,301.94336,303.66000366210943,CI
2024-01-04,hold,302.9576,306.2200012207032,CI
2024-01-05,hold,304.14172,313.5899963378906,CI
2024-01-08,hold,306.5354,313.6300048828125,CI
2024-01-09,hold,308.6753,312.8699951171875,CI
2024-01-10,hold,310.2652,307.7200012207031,CI
2024-01-11,hold,310.40283,307.3900146484375,CI
2024-01-12,hold,310.1082,305.010009765625,CI
2024-01-16,hold,309.16284,306.94000244140625,CI
2024-01-17,hold,308.56873,308.4800109863281,CI
2024-01-18,hold,308.41235,309.0799865722657,CI
2024-01-19,hold,308.49313,302.05999755859375,CI
2024-01-22,hold,307.24152,305.0299987792969,CI
2024-01-23,hold,306.64352,304.3999938964844,CI
2024-01-24,hold,306.09616,304.50000000000006,CI
2024-01-25,hold,305.71396,298.5700073242188,CI
2024-01-26,hold,304.25912,297.8200073242188,CI
2024-01-29,hold,302.75198,298.8800048828125,CI
