date,signal,prediction,actual,ticker
2024-01-02,hold,147.28252,147.97749328613284,CTAS
2024-01-03,hold,148.04076,145.07000732421875,CTAS
2024-01-04,hold,148.26788,145.59500122070312,CTAS
2024-01-05,hold,148.35248,144.31500244140625,CTAS
2024-01-08,hold,148.26979,146.03250122070312,CTAS
2024-01-09,hold,147.86974,146.12750244140625,CTAS
2024-01-10,hold,147.4838,146.7550048828125,CTAS
2024-01-11,hold,147.14987,147.06250000000003,CTAS
2024-01-12,hold,146.8912,148.25,CTAS
2024-01-16,hold,146.89157,147.1425018310547,CTAS
2024-01-17,hold,146.82771,147.22250366210938,CTAS
2024-01-18,hold,146.90453,148.15499877929688,CTAS
2024-01-19,hold,147.20201,149.76249694824216,CTAS
2024-01-22,hold,147.63582,150.38250732421878,CTAS
2024-01-23,hold,148.2046,150.9174957275391,CTAS
2024-01-24,hold,148.73622,149.4875030517578,CTAS
2024-01-25,hold,149.09389,149.62750244140625,CTAS
2024-01-26,hold,149.36778,149.45249938964844,CTAS
2024-01-29,hold,149.56313,150.5,CTAS
