date,signal,prediction,actual,ticker
2024-01-02,hold,51.890385,53.43000030517578,EVRG
2024-01-03,hold,52.339848,53.869998931884766,EVRG
2024-01-04,hold,52.827446,53.61000061035156,EVRG
2024-01-05,hold,53.169987,53.70000076293945,EVRG
2024-01-08,hold,53.4259,53.91999816894531,EVRG
2024-01-09,hold,53.643948,54.20999908447266,EVRG
2024-01-10,hold,53.85842,54.08000183105469,EVRG
2024-01-11,hold,53.974155,53.3499984741211,EVRG
2024-01-12,hold,53.848038,53.849998474121094,EVRG
2024-01-16,hold,53.833485,52.86000061035156,EVRG
2024-01-17,hold,53.547604,51.790000915527344,EVRG
2024-01-18,sell,53.04043,50.88999938964844,EVRG
2024-01-19,sell,52.377594,50.439998626708984,EVRG
2024-01-22,sell,51.70072,49.86000061035156,EVRG
2024-01-23,hold,51.01661,50.040000915527344,EVRG
2024-01-24,hold,50.544205,49.349998474121094,EVRG
2024-01-25,hold,50.059658,50.08000183105469,EVRG
2024-01-26,hold,49.90779,49.7599983215332,EVRG
2024-01-29,hold,49.77185,50.599998474121094,EVRG
