date,signal,prediction,actual,ticker
2024-01-02,hold,133.57898,133.0800018310547,FI
2024-01-03,hold,133.54291,131.75,FI
2024-01-04,hold,133.38329,133.0,FI
2024-01-05,hold,133.22997,132.57000732421875,FI
2024-01-08,hold,133.1916,135.22999572753906,FI
2024-01-09,hold,133.22064,135.10000610351562,FI
2024-01-10,hold,133.38303,135.39999389648438,FI
2024-01-11,hold,133.68127,136.38999938964844,FI
2024-01-12,hold,134.02843,136.9199981689453,FI
2024-01-16,hold,134.43837,137.0,FI
2024-01-17,hold,134.92516,137.44000244140625,FI
2024-01-18,hold,135.41243,137.80999755859375,FI
2024-01-19,hold,135.98195,139.02000427246094,FI
2024-01-22,hold,136.5043,140.52000427246094,FI
2024-01-23,hold,137.13763,140.60000610351562,FI
2024-01-24,hold,137.69753,140.0,FI
2024-01-25,hold,138.26622,140.66000366210938,FI
2024-01-26,hold,138.78445,141.33999633789062,FI
2024-01-29,hold,139.25403,142.91000366210938,FI
