date,signal,prediction,actual,ticker
2024-01-02,hold,506.07355,505.38000488281244,LULU
2024-01-03,hold,504.77927,498.0199890136719,LULU
2024-01-04,hold,501.75555,496.0,LULU
2024-01-05,hold,498.3481,491.1000061035156,LULU
2024-01-08,hold,494.1317,491.4800109863281,LULU
2024-01-09,hold,490.9366,485.7099914550781,LULU
2024-01-10,hold,487.30133,484.1000061035156,LULU
2024-01-11,hold,484.076,485.4800109863281,LULU
2024-01-12,hold,482.27332,479.94000244140625,LULU
2024-01-16,hold,480.1005,470.7300109863281,LULU
2024-01-17,hold,476.36673,468.3999938964844,LULU
2024-01-18,hold,472.3986,477.45001220703125,LULU
2024-01-19,hold,471.3277,484.0199890136719,LULU
2024-01-22,hold,473.08597,481.8900146484375,LULU
2024-01-23,hold,475.0296,477.0,LULU
2024-01-24,hold,475.81076,474.8399963378906,LULU
2024-01-25,hold,475.46576,474.29998779296875,LULU
2024-01-26,hold,474.6392,478.0299987792969,LULU
2024-01-29,hold,474.7356,481.989990234375,LULU
