date,signal,prediction,actual,ticker
2024-01-02,hold,259.72046,258.6499938964844,NDSN
2024-01-03,hold,259.60373,251.58999633789062,NDSN
2024-01-04,hold,258.12936,251.14999389648438,NDSN
2024-01-05,hold,256.54874,249.72999572753903,NDSN
2024-01-08,hold,254.80292,252.8300018310547,NDSN
2024-01-09,hold,253.68764,250.32000732421875,NDSN
2024-01-10,hold,252.33891,250.61999511718747,NDSN
2024-01-11,hold,251.26772,250.61000061035156,NDSN
2024-01-12,hold,250.4319,251.61999511718747,NDSN
2024-01-16,hold,249.97818,250.53999328613278,NDSN
2024-01-17,hold,249.52753,249.4600067138672,NDSN
2024-01-18,hold,249.11288,251.53999328613284,NDSN
2024-01-19,hold,249.21219,253.41999816894528,NDSN
2024-01-22,hold,249.63405,253.9100036621094,NDSN
2024-01-23,hold,250.1451,254.33000183105466,NDSN
2024-01-24,hold,250.64809,251.0500030517578,NDSN
2024-01-25,hold,250.59444,254.05000305175778,NDSN
2024-01-26,hold,250.9893,252.1999969482422,NDSN
2024-01-29,hold,251.00789,255.00999450683594,NDSN
