date,signal,prediction,actual,ticker
2024-01-02,hold,120.0469,117.87000274658203,PAYX
2024-01-03,hold,119.3068,116.83999633789064,PAYX
2024-01-04,hold,118.54159,117.84999847412111,PAYX
2024-01-05,hold,118.104904,117.9800033569336,PAYX
2024-01-08,hold,117.851234,119.47000122070312,PAYX
2024-01-09,hold,118.004105,118.66999816894531,PAYX
2024-01-10,hold,118.06356,118.88999938964844,PAYX
2024-01-11,hold,118.17031,119.13999938964844,PAYX
2024-01-12,hold,118.32157,119.72000122070311,PAYX
2024-01-16,hold,118.55936,119.80999755859375,PAYX
2024-01-17,hold,118.79454,120.11000061035156,PAYX
2024-01-18,hold,119.05118,120.37000274658203,PAYX
2024-01-19,hold,119.31135,122.08999633789062,PAYX
2024-01-22,hold,119.82619,122.79000091552736,PAYX
2024-01-23,hold,120.425545,122.81999969482422,PAYX
2024-01-24,hold,120.95708,121.88999938964845,PAYX
2024-01-25,hold,121.23191,121.01000213623047,PAYX
2024-01-26,hold,121.24123,120.94000244140624,PAYX
2024-01-29,hold,121.15548,121.36000061035156,PAYX
