date,signal,prediction,actual,ticker
2024-01-02,hold,461.5759,458.60998535156256,PH
2024-01-03,hold,461.44577,450.6799926757812,PH
2024-01-04,hold,459.3488,452.05999755859375,PH
2024-01-05,hold,457.64667,453.54998779296875,PH
2024-01-08,hold,456.46408,458.69000244140625,PH
2024-01-09,hold,456.7952,457.4599914550781,PH
2024-01-10,hold,457.10358,460.77999877929693,PH
2024-01-11,hold,458.26376,462.6400146484375,PH
2024-01-12,hold,459.80396,460.32000732421875,PH
2024-01-16,hold,460.63116,460.75,PH
2024-01-17,hold,461.29755,456.0499877929688,PH
2024-01-18,hold,460.66754,465.7000122070313,PH
2024-01-19,hold,462.03278,470.36999511718744,PH
2024-01-22,hold,464.37082,473.5199890136719,PH
2024-01-23,hold,467.18323,469.10000610351557,PH
2024-01-24,hold,468.5959,464.8800048828125,PH
2024-01-25,hold,468.5513,471.79998779296875,PH
2024-01-26,hold,469.74857,471.5899963378906,PH
2024-01-29,hold,470.68967,476.5,PH
