date,signal,prediction,actual,ticker
2024-01-02,hold,131.8026,134.6199951171875,PLD
2024-01-03,hold,131.97995,130.52000427246094,PLD
2024-01-04,hold,131.75195,130.2899932861328,PLD
2024-01-05,hold,131.40546,130.55999755859375,PLD
2024-01-08,hold,131.2047,133.1699981689453,PLD
2024-01-09,hold,131.25885,133.07000732421875,PLD
2024-01-10,hold,131.259,133.5500030517578,PLD
2024-01-11,hold,131.30106,131.32000732421875,PLD
2024-01-12,hold,131.08485,131.5500030517578,PLD
2024-01-16,hold,130.85883,129.97000122070312,PLD
2024-01-17,hold,130.54788,126.86000061035156,PLD
2024-01-18,hold,129.81601,126.26000213623047,PLD
2024-01-19,hold,129.1867,128.44000244140625,PLD
2024-01-22,hold,128.79799,128.74000549316406,PLD
2024-01-23,hold,128.46408,128.00999450683594,PLD
2024-01-24,hold,127.985535,125.44000244140625,PLD
2024-01-25,hold,127.28053,126.19999694824219,PLD
2024-01-26,hold,126.6803,126.87000274658202,PLD
2024-01-29,hold,126.311325,127.88999938964844,PLD
