date,signal,prediction,actual,ticker
2024-01-02,hold,145.56012,140.2299957275391,QCOM
2024-01-03,sell,144.39462,137.60000610351565,QCOM
2024-01-04,sell,142.39235,136.1699981689453,QCOM
2024-01-05,sell,140.22725,136.72999572753906,QCOM
2024-01-08,hold,138.50507,139.02999877929688,QCOM
2024-01-09,hold,137.97517,139.88999938964847,QCOM
2024-01-10,hold,138.15462,139.30999755859378,QCOM
2024-01-11,hold,138.51619,139.02999877929688,QCOM
2024-01-12,hold,138.9073,140.19999694824222,QCOM
2024-01-16,hold,139.61548,141.11999511718753,QCOM
2024-01-17,hold,140.46666,139.32000732421875,QCOM
2024-01-18,buy,140.55327,145.2899932861328,QCOM
2024-01-19,buy,142.06247,151.96000671386722,QCOM
2024-01-22,buy,145.2084,152.8699951171875,QCOM
2024-01-23,buy,148.28539,153.5,QCOM
2024-01-24,buy,150.99498,154.36999511718753,QCOM
2024-01-25,hold,153.1855,154.47000122070312,QCOM
2024-01-26,hold,154.58482,150.72000122070315,QCOM
2024-01-29,hold,154.21872,149.63999938964844,QCOM
