date,signal,prediction,actual,ticker
2024-01-02,hold,175.13242,171.77999877929688,RMD
2024-01-03,hold,175.10056,165.7899932861328,RMD
2024-01-04,hold,174.17711,167.5800018310547,RMD
2024-01-05,hold,173.33614,166.82000732421878,RMD
2024-01-08,hold,172.43547,172.77000427246094,RMD
2024-01-09,hold,172.42647,177.8300018310547,RMD
2024-01-10,hold,173.38145,177.2899932861328,RMD
2024-01-11,hold,174.34589,177.88999938964844,RMD
2024-01-12,hold,175.43245,173.89999389648438,RMD
2024-01-16,hold,175.90956,170.2100067138672,RMD
2024-01-17,hold,175.75613,170.7100067138672,RMD
2024-01-18,hold,175.51068,172.75999450683594,RMD
2024-01-19,hold,175.61879,172.5399932861328,RMD
2024-01-22,hold,175.59698,176.82000732421875,RMD
2024-01-23,hold,176.1715,174.97000122070312,RMD
2024-01-24,hold,176.36179,171.77999877929688,RMD
2024-01-25,hold,175.99521,186.35000610351562,RMD
2024-01-26,buy,177.65526,190.14999389648438,RMD
2024-01-29,buy,179.9725,191.22999572753906,RMD
